customerkey,customername,age,maritalstatus,gender,datefirstpurchase,city,stateprovincename,englishcountryregionname
16500,Chloe Perry,42,S,F,4/20/2022,Renton,Washington,United States
16501,Vanessa V Wood,42,S,F,09-02-2022,Seattle,Washington,United States
16502,Jackson M Parker,42,S,M,01-12-2023,Woodburn,Oregon,United States
16503,Christian Anderson,42,M,M,5/17/2022,Mill Valley,California,United States
16504,Justin Russell,43,S,M,04-05-2022,San Diego,California,United States
16505,Erin Gray,37,S,F,12-11-2022,Fremont,California,United States
16506,Catherine L Murphy,38,M,F,04-06-2022,Metchosin,British Columbia,Canada
16507,Tracy B Nath,77,M,F,7/14/2022,Orleans,Loiret,France
16508,Brent Zhu,78,M,M,8/23/2022,Pantin,Seine Saint Denis,France
16509,Veronica Sai,76,M,F,3/25/2021,London,England,United Kingdom
16510,Brad G Nara,74,M,M,04-08-2022,Paris,Seine (Paris),France
16511,Joe G Raman,75,M,M,02-02-2022,Cambridge,England,United Kingdom
16512,Ricardo Sharma,75,S,M,3/29/2021,York,England,United Kingdom
16513,Ronnie Wagner,74,S,M,11/28/2021,Lieusaint,Seine et Marne,France
16514,Manuel A Fernandez,37,S,M,01-10-2020,Malabar,New South Wales,Australia
16515,Troy Sai,37,M,M,1/17/2020,Hobart,Tasmania,Australia
16516,Melvin She,37,M,M,1/18/2020,Townsville,Queensland,Australia
16517,Katrina M Raji,41,M,F,12/31/2019,Wollongong,New South Wales,Australia
16518,Krystal Holt,41,S,F,1/15/2020,Cranbourne,Victoria,Australia
16519,Yolanda Chander,41,S,F,1/24/2020,Hervey Bay,Queensland,Australia
16520,Misty Raji,41,M,F,01-04-2020,Bendigo,Victoria,Australia
16521,Tonya L She,38,S,F,1/20/2020,Hawthorne,Queensland,Australia
16522,Casey Pal,38,M,F,01-07-2020,Caloundra,Queensland,Australia
16523,Sandra C Huang,38,M,F,1/22/2020,Hervey Bay,Queensland,Australia
16524,Damien Huang,38,M,M,1/16/2020,Hawthorne,Queensland,Australia
16525,Martha Liang,39,M,F,1/14/2020,Goulburn,New South Wales,Australia
16526,Arthur L Perez,39,S,M,1/16/2020,Sunbury,Victoria,Australia
16527,Cory O Arun,39,S,M,01-08-2020,Milsons Point,New South Wales,Australia
16528,Dominique Garcia,39,S,F,1/24/2020,Melton,Victoria,Australia
16529,Jonathon R Gutierrez,40,M,M,01-02-2020,Goulburn,New South Wales,Australia
16530,Priscilla Chander,74,M,F,04-02-2021,London,England,United Kingdom
16531,Lacey C Gao,74,S,F,4/26/2021,London,England,United Kingdom
16532,Tommy Sharma,45,S,M,12/22/2021,Cergy,Val d'Oise,France
16533,Kristen Cai,56,M,F,12-12-2021,Drancy,Seine Saint Denis,France
16534,Claudia Holt,56,M,F,6/25/2021,München,Hessen,Germany
16535,Colin F Chen,52,S,M,06-03-2022,Paris,Seine (Paris),France
16536,Meghan A Jimenez,57,S,F,5/31/2022,Saint-Denis,Seine Saint Denis,France
16537,Arthur Dominguez,57,S,M,5/26/2022,Saarbrücken,Saarland,Germany
16538,Stacey Liang,57,S,F,6/30/2021,Frankfurt am Main,Hamburg,Germany
16539,Christy Li,52,S,F,02-06-2022,Hof,Bayern,Germany
16540,Theodore L Browning,57,M,M,07-12-2021,Salzgitter,Hessen,Germany
16541,Micah A Hu,56,S,M,4/20/2021,Billericay,England,United Kingdom
16542,Jésus L Ortega,57,M,M,07-09-2022,Gloucestershire,England,United Kingdom
16543,Jenny McDonald,46,M,F,7/17/2022,London,England,United Kingdom
16544,Eduardo M Morgan,53,M,M,08-01-2022,Saint Germain en Laye,Yveline,France
16545,Alicia Pal,58,M,F,10-12-2022,Paris,Seine (Paris),France
16546,Terrance B Jordan,58,M,M,04-08-2021,London,England,United Kingdom
16547,Jake L Yang,48,M,M,12-12-2021,Paris La Defense,Hauts de Seine,France
16548,Darren Rubio,51,M,M,12/16/2021,Roncq,Nord,France
16549,Linda A Moreno,58,S,F,7/29/2021,Berlin,Hessen,Germany
16550,Frederick Madan,53,M,M,04-02-2021,West Sussex,England,United Kingdom
16551,Christy M Shan,47,S,F,12/21/2021,Roubaix,Nord,France
16552,Joe S Sanchez,58,M,M,07-01-2021,Leipzig,Nordrhein-Westfalen,Germany
16553,Gabriella J Roberts,58,M,F,4/19/2021,Esher-Molesey,England,United Kingdom
16554,Casey C Chander,59,S,F,4/29/2021,Warrington,England,United Kingdom
16555,Mathew Vazquez,47,M,M,9/19/2022,Les Ulis,Essonne,France
16556,Angelica Butler,47,S,F,6/21/2022,Werne,Nordrhein-Westfalen,Germany
16557,Derek Chander,42,S,M,3/26/2022,Paris,Seine (Paris),France
16558,Preston Sara,42,S,M,3/24/2022,Stuttgart,Saarland,Germany
16559,Candace G Martinez,48,S,F,12/24/2021,Cergy,Val d'Oise,France
16560,Kelvin E Sun,47,S,M,12/16/2021,Saint-Denis,Seine Saint Denis,France
16561,Kurt Yuan,41,M,M,4/26/2021,Leeds,England,United Kingdom
16562,Colleen L Zhang,41,M,F,4/22/2021,Oxford,England,United Kingdom
16563,Mackenzie Baker,98,S,F,02-11-2022,Newcastle upon Tyne,England,United Kingdom
16564,Susan L Wu,48,S,F,5/21/2022,Bracknell,England,United Kingdom
16565,Corey E Anand,48,M,M,7/23/2021,Darmstadt,Hessen,Germany
16566,Ashlee C Shen,43,S,F,12/24/2021,Roissy en Brie,Seine et Marne,France
16567,Erick A Lopez,48,S,M,07-06-2021,Saarlouis,Saarland,Germany
16568,Caroline Coleman,95,M,F,02-11-2022,Kassel,Hessen,Germany
16569,Colleen H Li,59,S,F,12/13/2021,Colombes,Hauts de Seine,France
16570,Julie G She,54,M,F,12-08-2021,Versailles,Yveline,France
16571,Audrey Torres,60,M,F,06-09-2022,Newcastle upon Tyne,England,United Kingdom
16572,Jon D Xu,43,S,M,7/27/2021,Berlin,Hamburg,Germany
16573,Ruben Dominguez,49,S,M,4/21/2021,London,England,United Kingdom
16574,Joe E Gomez,44,S,M,03-05-2022,Bracknell,England,United Kingdom
16575,Veronica G Vance,73,S,F,04-10-2021,Milton Keynes,England,United Kingdom
16576,Corey D Beck,71,S,M,01-06-2023,Metz,Moselle,France
16577,Leah E Chen,71,S,F,08-02-2022,Paris La Defense,Hauts de Seine,France
16578,Stefanie Weber,70,S,F,11-05-2022,Darmstadt,Hessen,Germany
16579,Zachary L Davis,64,M,M,07-10-2022,Cheltenham,England,United Kingdom
16580,Dawn C Chen,63,M,F,12/16/2021,Metz,Moselle,France
16581,Kenneth Becker,57,S,M,10/25/2022,Pantin,Seine Saint Denis,France
16582,Frank M Torres,57,M,M,2/22/2022,Berlin,Saarland,Germany
16583,Justin A Martinez,63,M,M,01-08-2023,Frankfurt,Hessen,Germany
16584,Devin Gray,63,S,M,02-07-2022,Watford,England,United Kingdom
16585,Vincent F Sun,63,M,M,04-07-2021,West Sussex,England,United Kingdom
16586,Leonard Chander,53,M,M,7/25/2022,Versailles,Yveline,France
16587,Zachary Martinez,64,M,M,7/14/2021,Solingen,Nordrhein-Westfalen,Germany
16588,Andre Martinez,64,M,M,4/30/2021,London,England,United Kingdom
16589,Martin Suri,64,M,M,5/28/2021,Maidenhead,England,United Kingdom
16590,Shawn C Deng,58,M,M,5/31/2022,Oxford,England,United Kingdom
16591,Clarence He,53,M,M,6/23/2022,Reading,England,United Kingdom
16592,Jacquelyn R Gomez,64,M,F,3/14/2022,Saint Germain en Laye,Yveline,France
16623,Andres L Lal,44,S,M,1/19/2020,Port Macquarie,New South Wales,Australia
16593,Suzanne He,65,M,F,2/15/2022,Birmingham,England,United Kingdom
16594,Andrew C Jones,65,M,M,5/21/2021,Peterborough,England,United Kingdom
16595,Cameron L Anderson,65,M,M,5/18/2021,Runcorn,England,United Kingdom
16596,Gabrielle B Carter,66,S,F,12-09-2021,Saint Germain en Laye,Yveline,France
16597,Kelli L Xu,66,S,F,03-02-2022,Salzgitter,Hessen,Germany
16598,Kate Rai,66,S,F,5/23/2021,Bury,England,United Kingdom
16599,Ramón S Cai,67,M,M,6/18/2022,London,England,United Kingdom
16600,Janet V Suarez,69,S,F,5/16/2022,Sèvres,Hauts de Seine,France
16601,Tabitha Y Rana,69,S,F,05-12-2022,Oxford,England,United Kingdom
16602,Jill A Travers,69,M,F,8/22/2022,Runcorn,England,United Kingdom
16603,Scott Seely,69,M,F,07-08-2021,München,Hamburg,Germany
16604,Roy M Serrano,70,M,M,10/25/2022,Sulzbach Taunus,Saarland,Germany
16605,Toni Randall,42,M,F,03-11-2022,Port Macquarie,New South Wales,Australia
16606,Ricky F Blanco,41,S,M,08-07-2022,Matraville,New South Wales,Australia
16607,Logan Gonzales,42,M,M,01-05-2020,Brisbane,Queensland,Australia
16608,Ricky C Martin,41,S,M,02-08-2022,Brisbane,Queensland,Australia
16609,Gary E Jimenez,37,S,M,1/30/2022,Hobart,Tasmania,Australia
16610,Sydney Clark,43,M,F,03-12-2022,Coffs Harbour,New South Wales,Australia
16611,Dylan E Rodriguez,42,S,M,2/17/2022,Port Macquarie,New South Wales,Australia
16612,Ebony E Ashe,42,S,F,1/14/2020,Matraville,New South Wales,Australia
16613,Cassie S Sutton,43,M,F,3/21/2022,Caloundra,Queensland,Australia
16614,Alison A Shen,44,M,F,8/26/2022,Springwood,New South Wales,Australia
16615,Kaitlin L Patel,44,S,F,04-08-2022,Perth,South Australia,Australia
16616,Kelvin L Liang,37,S,M,01-10-2020,Perth,South Australia,Australia
16617,Alvin M Xie,43,M,M,02-03-2022,Warrnambool,Victoria,Australia
16618,Cassandra M Subram,43,M,F,8/21/2022,Findon,South Australia,Australia
16619,Whitney Perez,43,M,F,03-09-2022,North Ryde,New South Wales,Australia
16620,Cameron M Thompson,38,M,M,1/18/2020,Sydney,New South Wales,Australia
16621,Birgit Seidel,39,M,F,8/31/2022,Bendigo,Victoria,Australia
16622,Byron Navarro,44,S,M,8/13/2022,Newcastle,New South Wales,Australia
16624,Albert R Alvarez,39,S,M,12/30/2019,Perth,South Australia,Australia
16625,Grant C Deng,39,M,M,4/21/2022,Hervey Bay,Queensland,Australia
16626,Nathaniel E Morgan,45,S,M,2/28/2022,Townsville,Queensland,Australia
16627,Claudia R Chen,40,M,F,2/15/2022,Findon,South Australia,Australia
16628,Francisco Prasad,46,S,M,09-10-2022,Lane Cove,New South Wales,Australia
16629,Rosa G Zheng,45,S,F,01-06-2020,Matraville,New South Wales,Australia
16630,Jaime L Sutton,45,M,M,1/28/2020,Sunbury,Victoria,Australia
16631,Haley J Ward,46,S,F,01-09-2020,Rockhampton,Queensland,Australia
16632,Ruben Romero,46,S,M,7/25/2022,Darlinghurst,New South Wales,Australia
16633,Kelli E Becker,45,M,F,7/20/2022,Seaford,Victoria,Australia
16634,Jenny A Hu,42,M,F,09-02-2022,Bendigo,Victoria,Australia
16635,Erick Suri,47,M,M,4/18/2022,Coffs Harbour,New South Wales,Australia
16636,Danny V Gomez,47,M,M,1/20/2020,South Melbourne,Victoria,Australia
16637,Evan King,46,M,M,2/25/2020,Port Macquarie,New South Wales,Australia
16638,Dennis M Ye,46,M,M,02-12-2020,Springwood,New South Wales,Australia
16639,Renee E Romero,46,S,F,02-04-2020,Melton,Victoria,Australia
16640,Colin M Lal,46,M,M,4/18/2022,Darlinghurst,New South Wales,Australia
16641,Julia I Bailey,76,S,F,10/26/2022,La Jolla,California,United States
16642,Mason L Mitchell,70,S,M,11/26/2022,Yakima,Washington,United States
16643,Fernando Wilson,76,S,M,04-06-2022,Port Hammond,British Columbia,Canada
16644,Leonard C Goel,75,M,M,7/27/2022,Burbank,California,United States
16645,Chelsea Subram,75,M,F,10-10-2022,Chula Vista,California,United States
16646,Xavier C Collins,75,M,M,11-02-2022,Oak Bay,British Columbia,Canada
16647,Anna Alexander,75,M,F,9/18/2022,Daly City,California,United States
16648,Rachel Coleman,75,M,F,12-10-2022,Glendale,California,United States
16649,Makayla Stewart,74,M,F,10-02-2022,Metchosin,British Columbia,Canada
16650,Kaitlyn J Green,74,M,F,11-06-2022,Oregon City,Oregon,United States
16651,Abigail Martinez,74,M,F,11/23/2022,Issaquah,Washington,United States
16652,Nicole R Richardson,38,M,F,7/24/2022,La Jolla,California,United States
16653,Isabella Phillips,44,M,F,10-09-2022,Issaquah,Washington,United States
16654,Heather Zhang,39,M,F,03-01-2022,Cliffside,British Columbia,Canada
16655,Destiny M Taylor,41,M,F,9/13/2022,Lakewood,California,United States
16656,Ronnie Zhang,62,M,M,2/28/2020,Rhodes,New South Wales,Australia
16657,Alvin E She,62,M,M,02-08-2020,Lavender Bay,New South Wales,Australia
16658,Ashlee E Raje,62,S,F,02-06-2020,Wollongong,New South Wales,Australia
16659,Emily Jones,61,S,F,02-02-2020,Goulburn,New South Wales,Australia
16660,Lee M Blanco,61,S,M,02-12-2020,Goulburn,New South Wales,Australia
16661,Shane Raman,61,S,M,1/30/2020,Malabar,New South Wales,Australia
16662,Stacey Gao,60,S,F,1/31/2020,Sydney,New South Wales,Australia
16663,Rosa A Lu,60,S,F,2/19/2020,Geelong,Victoria,Australia
16664,Sophia Nelson,59,M,F,02-10-2020,Melton,Victoria,Australia
16665,Linda Suarez,59,S,F,9/19/2022,Milsons Point,New South Wales,Australia
16666,Taylor Torres,44,S,F,02-07-2022,Newton,British Columbia,Canada
16667,Allison Sanchez,43,S,F,6/19/2022,Vancouver,British Columbia,Canada
16668,Levi Malhotra,43,S,M,4/21/2022,Chicago,Illinois,United States
16669,Benjamin Martinez,43,S,M,11-02-2022,Kirkland,Washington,United States
16670,Sarah White,43,S,F,5/23/2022,Spokane,Washington,United States
16671,Megan C Wood,43,S,F,12/13/2022,W. Linn,Oregon,United States
16672,Nicole A Martinez,43,S,F,6/18/2022,Walla Walla,Washington,United States
16673,Curtis O Guo,43,S,M,6/29/2022,Beverly Hills,California,United States
16674,Ricardo Yuan,52,M,M,4/26/2022,Cranbourne,Victoria,Australia
16675,Kristi W Arthur,52,S,F,02-03-2020,Matraville,New South Wales,Australia
16676,Amanda Perry,46,M,F,9/19/2022,Grossmont,California,United States
16677,Jack S Hughes,40,M,M,7/31/2022,Los Angeles,California,United States
16678,Ian Ramirez,60,M,M,03-07-2022,Langley,British Columbia,Canada
16679,Amber E Carter,43,S,F,02-11-2022,Melbourne,Victoria,Australia
16680,Carlos Edwards,54,M,M,08-09-2022,Coffs Harbour,New South Wales,Australia
16681,Louis A Chande,50,S,M,6/29/2022,Bendigo,Victoria,Australia
16682,Kristy Ramos,50,M,F,6/18/2022,Milsons Point,New South Wales,Australia
16683,Christy Rai,50,M,F,5/29/2022,Rockhampton,Queensland,Australia
16684,Joel Perez,54,M,M,02-08-2020,Warrnambool,Victoria,Australia
16685,Robin Dominguez,55,S,F,02-07-2020,Port Macquarie,New South Wales,Australia
16686,Kristine Alonso,55,M,F,02-02-2020,Malabar,New South Wales,Australia
16687,Lawrence C Romero,51,S,M,02-03-2020,Malabar,New South Wales,Australia
16688,Tabitha L Gomez,56,S,F,2/26/2020,Findon,South Australia,Australia
16689,Rafael J Shen,56,M,M,8/18/2022,Coffs Harbour,New South Wales,Australia
16690,Aimee Wu,51,M,F,09-12-2022,North Ryde,New South Wales,Australia
16691,Paula B Romero,51,S,F,2/28/2020,Perth,South Australia,Australia
16692,Jay Diaz,46,M,M,04-10-2022,Coffs Harbour,New South Wales,Australia
16693,Ethan G Coleman,51,M,M,2/21/2020,Caloundra,Queensland,Australia
16694,Mandy L Sun,57,M,F,2/21/2022,St. Leonards,New South Wales,Australia
16695,Dwayne Serrano,58,M,M,09-03-2022,Wollongong,New South Wales,Australia
16696,Claudia M Zeng,52,S,F,02-04-2020,Gold Coast,Queensland,Australia
16697,Wyatt Henderson,52,S,M,2/25/2022,Townsville,Queensland,Australia
16698,Mallory P Gill,47,S,F,5/17/2022,East Brisbane,Queensland,Australia
16699,Dominic J Kapoor,58,M,M,05-09-2022,Geelong,Victoria,Australia
16700,Billy L Gill,48,S,M,6/18/2022,Hobart,Tasmania,Australia
16701,Laura Zheng,43,S,F,2/18/2020,North Ryde,New South Wales,Australia
16702,Patricia T Raman,50,M,F,2/21/2020,Cranbourne,Victoria,Australia
16703,Denise Sanchez,55,M,F,02-09-2020,Hobart,Tasmania,Australia
16704,Karla K Chavez,56,M,F,6/25/2022,Lane Cove,New South Wales,Australia
16705,Jacqueline Wood,59,M,F,08-10-2022,Coffs Harbour,New South Wales,Australia
16706,Jenny W Shan,59,M,F,9/22/2022,Darlinghurst,New South Wales,Australia
16707,Derrick Serrano,59,S,M,2/21/2020,Hervey Bay,Queensland,Australia
16708,Kellie Sanz,48,S,F,2/19/2020,Lavender Bay,New South Wales,Australia
16709,Roy A Alvarez,81,M,M,7/21/2022,Hawthorne,Queensland,Australia
16710,Carla Arthur,57,M,F,07-03-2022,Milsons Point,New South Wales,Australia
16711,Jorge Zhao,57,M,M,03-07-2022,North Sydney,New South Wales,Australia
16712,Suzanne K Lu,61,S,F,02-03-2020,Coffs Harbour,New South Wales,Australia
16713,Tony L Nara,64,M,M,2/23/2020,East Brisbane,Queensland,Australia
16714,Dalton Nicholls,41,M,M,08-04-2022,National City,California,United States
16715,Katelyn C Ramirez,41,M,F,8/24/2022,Mill Valley,California,United States
16716,Jose Henderson,41,S,M,04-08-2022,Puyallup,Washington,United States
16717,Masaki Umeda,42,M,F,04-11-2022,Langford,British Columbia,Canada
16718,Gavin T Stone,42,S,M,11/18/2022,Downey,California,United States
16719,Trevor Russell,42,S,M,10/19/2022,Burlingame,California,United States
16720,Morgan C Perry,36,S,F,07-01-2022,Burbank,California,United States
16721,Xavier Sanders,37,M,M,04-08-2022,Langley,British Columbia,Canada
16722,Sean L Gray,37,S,M,11/28/2022,Puyallup,Washington,United States
16723,Barbara Zhao,37,M,F,1/21/2023,Burlingame,California,United States
16724,Gabriel W Yang,37,S,M,11-02-2022,Newport Beach,California,United States
16725,Jacob Williams,37,M,M,12-09-2022,Issaquah,Washington,United States
16726,Miguel Wood,38,M,M,12/26/2022,El Cajon,California,United States
16727,Charles Johnston,36,S,M,5/31/2022,Lynnwood,Washington,United States
16728,Cole D Morris,37,M,M,06-09-2022,Milwaukie,Oregon,United States
16729,Tommy Nara,80,M,M,8/16/2022,Hobart,Tasmania,Australia
16730,Mariah C Long,80,M,F,12-02-2022,Rockhampton,Queensland,Australia
16731,Nicole White,38,S,F,03-03-2022,Newton,British Columbia,Canada
16732,Natalie Flores,39,S,F,7/19/2022,Port Orchard,Washington,United States
16733,Douglas M Srini,79,M,M,08-04-2022,Springwood,New South Wales,Australia
16734,Emma Martinez,79,S,F,4/29/2022,Sydney,New South Wales,Australia
16735,Melissa Hayes,40,S,F,8/21/2022,Lynnwood,Washington,United States
16736,Kelly Alexander,40,S,F,6/15/2022,Port Orchard,Washington,United States
16737,Steven Selikoff,38,S,F,9/17/2022,Burien,Washington,United States
16738,Ramon B Lu,78,M,M,3/13/2022,Hawthorne,Queensland,Australia
16739,Cory Weber,67,M,M,03-07-2022,Silverwater,New South Wales,Australia
16740,Elijah Li,77,M,M,1/31/2020,Melton,Victoria,Australia
16741,Alan Xu,77,M,M,02-01-2020,Rhodes,New South Wales,Australia
16742,Mitchell R Pal,76,M,M,2/22/2020,Wollongong,New South Wales,Australia
16743,Ariana Stewart,75,M,F,1/29/2020,Coffs Harbour,New South Wales,Australia
16744,Lacey Guo,75,M,F,2/16/2020,North Ryde,New South Wales,Australia
16745,Krista J Moreno,74,S,F,02-07-2020,Townsville,Queensland,Australia
16746,Brianna W Peterson,41,S,F,2/28/2022,Lake Oswego,Oregon,United States
16747,Alexander S Davis,42,S,M,6/30/2022,Salem,Oregon,United States
16748,Patrick J Peterson,42,S,M,12-08-2022,Coronado,California,United States
16749,Aaron Coleman,43,S,M,12-05-2022,Santa Monica,California,United States
16750,Seth Sanders,43,M,M,3/21/2022,Torrance,California,United States
16751,Aaron C Scott,38,M,M,7/20/2022,Sedro Woolley,Washington,United States
16752,Mason Wright,44,S,M,8/17/2022,Torrance,California,United States
16753,Rachel Harris,45,S,F,10/19/2022,Lake Oswego,Oregon,United States
16754,Alex M Bell,44,S,M,3/17/2022,N. Vancouver,British Columbia,Canada
16755,Olivia James,45,M,F,10/19/2022,Redmond,Washington,United States
16756,Richard Allen,49,M,M,10/16/2022,Spokane,Washington,United States
16757,Mackenzie A Cox,50,M,F,12/31/2022,Portland,Oregon,United States
16758,Justin E Perry,44,M,M,06-04-2022,Victoria,British Columbia,Canada
16759,Jasmine B Bell,50,M,F,10/23/2022,San Francisco,California,United States
16760,Sydney Alexander,52,S,F,03-10-2022,Santa Monica,California,United States
16761,Angel A Ward,44,S,M,9/21/2022,Everett,Washington,United States
16762,Franklin Ferrier,45,M,M,9/22/2022,Burien,Washington,United States
16763,Juan R Suarez,44,M,M,04-11-2022,Cliffside,British Columbia,Canada
16764,Thomas Davis,44,M,M,5/21/2022,Newton,British Columbia,Canada
16765,Dalton R White,44,M,M,7/28/2022,Yakima,Washington,United States
16766,Summer G Arun,44,S,F,11-04-2022,Beverly Hills,California,United States
16767,Rafael M Liu,44,M,M,3/14/2022,Burbank,California,United States
16768,Eduardo R Barnes,44,M,M,1/20/2023,Concord,California,United States
16769,Tyler J Walker,46,M,M,10/17/2022,Downey,California,United States
16770,Charles Rogers,46,M,M,09-07-2022,Lakewood,California,United States
16771,Ian Walker,44,M,M,2/23/2022,Cliffside,British Columbia,Canada
16772,Morgan S Parker,45,M,F,3/15/2022,Oak Bay,British Columbia,Canada
16773,David E Lal,45,M,M,07-08-2022,Woodburn,Oregon,United States
16774,Eduardo R Perry,40,S,M,6/15/2022,Yakima,Washington,United States
16775,Sarah L Russell,39,M,F,9/19/2022,Colma,California,United States
16776,Dalton Lewis,47,M,M,9/28/2022,Bellingham,Washington,United States
16777,Cameron J Simmons,73,M,M,2/24/2022,Milwaukie,Oregon,United States
16778,Blake G Hayes,73,S,M,10/27/2022,Burbank,California,United States
16779,Morgan A Watson,62,M,F,10/24/2022,West Covina,California,United States
16780,Carlos Bailey,72,M,M,09-05-2022,Puyallup,Washington,United States
16781,Dylan Chen,72,M,M,1/29/2022,El Cajon,California,United States
16782,Lucas Clark,71,M,M,10-08-2022,Port Orchard,Washington,United States
16783,Grace R Barnes,70,M,F,11/22/2022,Tacoma,Washington,United States
16784,Chloe Long,71,M,F,05-02-2022,Haney,British Columbia,Canada
16785,Christian R Lee,71,M,M,9/30/2022,Tacoma,Washington,United States
16786,Lucas A Reed,71,M,M,10/26/2022,Los Angeles,California,United States
16787,Nicole J Jackson,66,S,F,11/25/2022,Bellflower,California,United States
16788,Ronnie J Gao,70,M,M,4/15/2022,Burlingame,California,United States
16789,Jennifer R Harris,70,M,F,12/19/2022,Seattle,Washington,United States
16790,Hunter A Lopez,65,M,M,12/25/2022,Portland,Oregon,United States
16791,Leonard F Yuan,70,S,M,5/23/2022,Cliffside,British Columbia,Canada
16792,Maria Torres,70,M,F,1/17/2022,Long Beach,California,United States
16793,Savannah F Hernandez,70,S,F,01-07-2022,Santa Cruz,California,United States
16794,Taylor Cook,70,M,F,1/15/2022,Redmond,Washington,United States
16795,Regina J Garcia,70,M,F,11/24/2022,Berkeley,California,United States
16796,Kaitlyn F Martin,69,S,F,5/17/2022,Sedro Woolley,Washington,United States
16797,Evan V Reed,68,M,M,01-08-2022,Walla Walla,Washington,United States
16798,Latasha Martin,69,M,F,1/16/2022,Coronado,California,United States
16799,Stephanie Gonzales,69,M,F,1/23/2022,Fremont,California,United States
16800,Jordan M Roberts,68,M,F,6/17/2022,Langley,British Columbia,Canada
16801,Jasmine Henderson,63,S,F,09-10-2022,Bellingham,Washington,United States
16802,Lucas Allen,68,S,M,2/17/2022,Lynnwood,Washington,United States
16803,Marcus L Peterson,62,M,M,1/14/2022,Puyallup,Washington,United States
16804,Adam W Zhang,66,M,M,1/15/2022,W. Linn,Oregon,United States
16805,Fernando H Allen,62,S,M,1/15/2022,W. Linn,Oregon,United States
16806,Louis Zhao,67,M,M,12-07-2022,Burlingame,California,United States
16807,Virginia J Suri,67,M,F,1/14/2022,Chula Vista,California,United States
16808,Jessica R Long,67,M,F,9/16/2022,Lincoln Acres,California,United States
16809,Bailey A Sanders,61,S,F,10/16/2022,Redwood City,California,United States
16810,Michael E Rodriguez,66,M,M,08-09-2022,Oak Bay,British Columbia,Canada
16811,Luis R Zhang,66,M,M,2/27/2022,Tacoma,Washington,United States
16812,Alexa Richardson,60,M,F,2/16/2022,Imperial Beach,California,United States
16813,Carson Diaz,66,M,M,11/24/2022,Lakewood,California,United States
16814,Isabella D Collins,60,S,F,02-03-2022,National City,California,United States
16815,Jacob Brown,66,M,M,01-10-2023,Novato,California,United States
16816,Julia R Miller,61,M,F,01-04-2023,Redwood City,California,United States
16817,Evan Peterson,65,M,M,10/13/2022,San Diego,California,United States
16818,Gabrielle Reed,66,M,F,10-07-2022,Spring Valley,California,United States
16819,Dalton Cox,65,M,M,10/13/2022,Issaquah,Washington,United States
16820,Isabella Gray,65,M,F,8/21/2022,Port Hammond,British Columbia,Canada
16821,Mary Carter,59,M,F,07-03-2021,Solingen,Nordrhein-Westfalen,Germany
16822,Marshall Lin,58,M,M,05-10-2021,Peterborough,England,United Kingdom
16823,Stacy Ruiz,59,M,F,05-09-2021,Liverpool,England,United Kingdom
16824,Randall J Munoz,60,M,M,7/21/2021,Berlin,Hessen,Germany
16825,Susan Zeng,60,M,F,11/17/2022,Bottrop,Nordrhein-Westfalen,Germany
16914,Alexandra K Campbell,49,M,F,11/28/2022,Puyallup,Washington,United States
16826,Roberto A Vazquez,54,M,M,8/24/2021,Solingen,Nordrhein-Westfalen,Germany
16827,Jeffery C Chen,49,M,M,5/14/2021,Wokingham,England,United Kingdom
16828,Logan R Mitchell,56,M,M,5/15/2021,Oxford,England,United Kingdom
16829,Wayne C Lal,56,M,M,05-07-2021,Runcorn,England,United Kingdom
16830,Alexandra M Hall,62,M,F,08-01-2021,Solingen,Nordrhein-Westfalen,Germany
16831,Theodore T Vazquez,62,M,M,5/24/2021,Gloucestershire,England,United Kingdom
16832,Isaiah J Parker,85,S,M,10/22/2022,Renton,Washington,United States
16833,Richard L Cooper,85,M,M,10/28/2022,Glendale,California,United States
16834,Morgan J Peterson,84,S,F,5/26/2022,Haney,British Columbia,Canada
16835,Noah Nelson,84,M,M,10-12-2022,Burien,Washington,United States
16836,David Thomas,51,M,M,8/16/2022,Cliffside,British Columbia,Canada
16837,Elizabeth K Jackson,52,M,F,08-04-2022,Langford,British Columbia,Canada
16838,Jonathan R Griffin,52,S,M,9/30/2022,Chula Vista,California,United States
16839,Julia F Ross,52,M,F,10-10-2022,West Covina,California,United States
16840,Xavier Torres,53,M,M,5/24/2022,Cliffside,British Columbia,Canada
16841,James E Turner,52,M,M,2/25/2022,Westminster,British Columbia,Canada
16842,Jenny R Yang,48,M,F,10/25/2022,Burbank,California,United States
16843,Jimmy Ramos,53,S,M,10/27/2022,Concord,California,United States
16844,Emma C Robinson,47,M,F,10/22/2022,Torrance,California,United States
16845,Andrea M Adams,47,S,F,10-05-2022,West Covina,California,United States
16846,James G Phillips,54,S,M,2/21/2022,Langley,British Columbia,Canada
16847,Eduardo Hall,43,M,M,6/14/2022,Newton,British Columbia,Canada
16848,Jessica Thomas,43,S,F,1/31/2022,Newton,British Columbia,Canada
16849,Jonathan Collins,48,M,M,12-04-2022,Victoria,British Columbia,Canada
16850,Jessica Jenkins,54,S,F,10-04-2022,Spokane,Washington,United States
16851,Kevin L Hayes,54,S,M,10/23/2022,Bellflower,California,United States
16852,Kate She,48,S,F,10/15/2022,Burlingame,California,United States
16853,Christina A Bailey,54,S,F,12/20/2022,Colma,California,United States
16854,Seth L Adams,43,M,M,10-04-2022,Woodland Hills,California,United States
